iter	MultiClass
0	1.669380729
1	1.391928587
2	1.205638279
3	1.062114611
4	0.9474581575
5	0.858332206
6	0.7830819755
7	0.7172147737
8	0.6613868554
9	0.6135124945
10	0.5723465895
11	0.5372802187
12	0.5058615678
13	0.4781120274
14	0.4546422747
15	0.4310652316
16	0.4113142774
17	0.3946993921
18	0.3781904314
19	0.3642339511
20	0.3498015902
21	0.3402604661
22	0.3292584774
23	0.3206980179
24	0.3113862614
25	0.3043236128
26	0.2978983245
27	0.2901754833
28	0.2846879788
29	0.2769114084
30	0.2709471094
31	0.2663063359
32	0.2619015391
33	0.2582268151
34	0.2521365905
35	0.2489208862
36	0.2437535041
37	0.2408328817
38	0.2367924216
39	0.2335144814
40	0.2312309374
41	0.2292816297
42	0.2273639889
43	0.2252129082
44	0.2234306611
45	0.2204411267
46	0.2186239408
47	0.2160415252
48	0.2147436903
49	0.2136705672
50	0.2121202272
51	0.2111159023
52	0.2093446664
53	0.2084297964
54	0.2055445325
55	0.2046736058
56	0.2032232083
57	0.2013322229
58	0.1995506234
59	0.198435063
60	0.1972067437
61	0.1949783437
62	0.1939537936
63	0.1934216499
64	0.1921754969
65	0.1908331842
66	0.1899971697
67	0.1895656349
68	0.1890503146
69	0.1882686054
70	0.1869942161
71	0.1867478702
72	0.1862881015
73	0.1853079094
74	0.1840271385
75	0.1836193256
76	0.1832072157
77	0.182578807
78	0.1819690533
79	0.1808312947
80	0.1804389117
81	0.178051225
82	0.1770290735
83	0.1762628917
84	0.1748961769
85	0.1742939021
86	0.1738972318
87	0.1737569862
88	0.1735702856
89	0.1731505406
90	0.1727938128
91	0.172584463
92	0.1711635775
93	0.1704346451
94	0.1701328816
95	0.1696455288
96	0.1690133202
97	0.1686624502
98	0.1684132983
99	0.1679167526
100	0.1676922778
101	0.1674686917
102	0.1671920005
103	0.1666891223
104	0.16647839
105	0.1661157252
106	0.1656316478
107	0.165304051
108	0.165193537
109	0.1646854837
110	0.1645430152
111	0.1643709962
112	0.1640073165
113	0.1637143554
114	0.1634133083
115	0.1624733116
116	0.1621563811
117	0.1619089737
118	0.1606029186
119	0.160307348
120	0.159493204
121	0.159209984
122	0.1589163439
123	0.1587175019
124	0.1584277866
125	0.1576502402
126	0.1574387788
127	0.1570695252
128	0.1568207248
129	0.1566833373
130	0.1565722575
131	0.155511413
132	0.1550646409
133	0.1546500972
134	0.1543858361
135	0.1539645479
136	0.1536570554
137	0.1533450235
138	0.152737774
139	0.1524596359
140	0.1522972869
141	0.152098836
142	0.1520320802
143	0.1518751488
144	0.1517458148
145	0.1516611052
146	0.1513242633
147	0.151058653
148	0.1507559625
149	0.1505014546
150	0.1503436879
151	0.1501352728
152	0.1495056778
153	0.1489884845
154	0.1488979187
155	0.1487532478
156	0.1486053012
157	0.1484188533
158	0.1482636856
159	0.1481473056
160	0.1478312803
161	0.1476482691
162	0.1475375318
163	0.1473187884
164	0.1467947233
165	0.1467114483
166	0.146614751
167	0.1463593525
168	0.1461858083
169	0.1457935475
170	0.1455394639
171	0.145431148
172	0.1451929698
173	0.1449584402
174	0.144839458
175	0.1447228886
176	0.144453809
177	0.1443285798
178	0.1441452459
179	0.1439792576
180	0.143599824
181	0.1434867504
182	0.1432020489
183	0.1430243256
184	0.142680169
185	0.1423501007
186	0.1422435896
187	0.1421186678
188	0.1419093167
189	0.1410014884
190	0.1408809083
191	0.1405326915
192	0.1404202606
193	0.1403164083
194	0.1402025428
195	0.140090636
196	0.1397821723
197	0.1396905853
198	0.1395887885
199	0.1394761959
200	0.1392721648
201	0.1390259201
202	0.1388295387
203	0.1387437255
204	0.1385572618
205	0.1384039434
206	0.1382714582
207	0.1381295499
208	0.1379893265
209	0.1377767555
210	0.1375150668
211	0.1372931234
212	0.137105033
213	0.1369834765
214	0.1368901365
215	0.1367375655
216	0.1365253395
217	0.1362811024
218	0.1361491973
219	0.1360216607
220	0.135895914
221	0.1358366882
222	0.1357542608
223	0.1356095529
224	0.1354099635
225	0.1353087765
226	0.1352515597
227	0.1351520696
228	0.1350259635
229	0.1349268729
230	0.1347701939
231	0.1346192963
232	0.1344478042
233	0.1343452966
234	0.1342645924
235	0.1341682832
236	0.1339809771
237	0.1337912355
238	0.1336819224
239	0.1335989373
240	0.1334961195
241	0.1333379651
242	0.1332557781
243	0.13312532
