iter	Passed	Remaining
0	2009	2007450
1	3964	1978476
2	5945	1975796
3	7909	1969572
4	9901	1970356
5	11859	1964665
6	13843	1963767
7	15858	1966422
8	17816	1961780
9	19840	1964234
10	21802	1960272
11	23818	1961016
12	25803	1959092
13	27774	1956101
14	29796	1956606
15	31772	1954034
16	33760	1952133
17	36032	1965774
18	38015	1962793
19	39998	1959907
20	41944	1955431
21	43915	1952239
22	46056	1956415
23	48203	1960268
24	50201	1957852
25	52519	1967474
26	54911	1978854
27	57112	1982614
28	59303	1985639
29	61500	1988524
30	63696	1991031
31	65894	1993306
32	68149	1996993
33	70230	1995379
34	72460	1997833
35	74681	1999814
36	76818	1999346
37	79111	2002757
38	81285	2002952
39	83483	2003608
40	85604	2002313
41	87888	2004703
42	90155	2006488
43	92338	2006266
44	94475	2004987
45	96739	2006300
46	98966	2006705
47	101112	2005390
48	103143	2001834
49	105433	2003228
50	107461	1999629
51	109792	2001599
52	111906	1999542
53	114325	2002805
54	116536	2002311
55	118706	2001060
56	120843	1999212
57	123066	1998763
58	125365	1999479
59	127550	1998285
60	129698	1996499
61	131800	1994020
62	134117	1994736
63	136353	1994170
64	138455	1991622
65	140716	1991350
66	142935	1990426
67	145245	1990717
68	147431	1989259
69	149539	1986739
70	151762	1985733
71	154077	1985891
72	156287	1984638
73	158410	1982276
74	160450	1978890
75	162656	1977563
76	164923	1976939
77	167023	1974306
78	169247	1973130
79	171400	1971110
80	173518	1968688
81	175660	1966537
82	177728	1963576
83	179858	1961313
84	181925	1958374
85	184231	1957996
86	186455	1956709
87	188771	1956356
88	191055	1955635
89	193262	1954097
90	195447	1952330
91	197603	1950259
92	199945	1950002
93	202079	1947702
94	204357	1946776
95	206574	1945240
96	208670	1942569
97	210862	1940797
98	213203	1940370
99	215385	1938470
100	217656	1937359
101	219956	1936484
102	222234	1935383
103	224336	1932746
104	226627	1931731
105	228894	1930488
106	231008	1927953
107	233210	1926146
108	235581	1925718
109	237695	1923176
110	239996	1922136
111	242278	1920925
112	244544	1919564
113	246823	1918296
114	249051	1916615
115	251142	1913877
116	253390	1912340
117	255685	1911144
118	257941	1909631
119	260281	1908729
120	262366	1905955
121	264656	1904660
122	266886	1902919
123	269186	1901672
124	271395	1899768
125	273592	1897778
126	275902	1896559
127	278060	1894289
128	280343	1892863
129	282632	1891463
130	284913	1889998
131	287146	1888202
132	289285	1885792
133	291386	1883140
134	293557	1880943
135	295804	1879228
136	298046	1877474
137	300289	1875723
138	302381	1873027
139	304596	1871093
140	306865	1869487
141	309152	1867976
142	311456	1866558
143	313749	1865069
144	316074	1863749
145	318421	1862548
146	320561	1860128
147	322794	1858251
148	324906	1855671
149	326941	1852667
150	329227	1851088
151	331329	1848467
152	333440	1845907
153	335562	1843414
154	337859	1841881
155	340289	1841055
156	342582	1839474
157	344883	1837925
158	347202	1836461
159	349517	1834966
160	351730	1832933
161	354023	1831307
162	356349	1829841
163	358586	1827914
164	360652	1825121
165	362944	1823468
166	365281	1822033
167	367520	1820099
168	369805	1818392
169	371866	1815585
170	374043	1813345
171	376327	1811623
172	378551	1809606
173	380818	1807791
174	382916	1805177
175	385233	1803593
176	387451	1801538
177	389782	1800007
178	392027	1798070
179	394309	1796296
180	396455	1793908
181	398748	1792178
182	400897	1789798
183	403159	1787925
184	405210	1785115
185	407265	1782332
186	409580	1780691
187	411867	1778918
188	414162	1777171
189	416349	1774962
190	418642	1773201
191	420840	1771036
192	423073	1769019
193	425393	1767354
194	427639	1765384
195	429915	1763531
196	431955	1760712
197	434244	1758909
198	436558	1757202
199	438933	1755733
200	441120	1753508
201	443289	1751212
202	445486	1749026
203	447789	1747256
204	450094	1745488
205	452137	1742704
206	454254	1740213
207	456500	1738212
208	458784	1736357
209	460924	1733952
210	463080	1731614
211	465187	1729094
212	467349	1726781
213	469631	1724907
214	471916	1723044
215	474120	1720881
216	476392	1718965
217	478560	1716671
218	480815	1714689
219	483030	1712563
220	485342	1710778
221	487621	1708871
222	489853	1706800
223	492045	1704587
224	494091	1701871
225	496133	1699146
226	498435	1697316
227	500766	1695577
228	503046	1693662
229	505334	1691771
230	507530	1689571
231	509773	1687525
232	511973	1685338
233	514247	1683392
234	516540	1681503
235	518828	1679597
236	520922	1677062
237	522997	1674471
238	525301	1672612
239	527566	1670626
240	529887	1668814
241	532025	1666426
242	534209	1664181
243	536460	1662146
244	538740	1660199
245	541018	1658244
246	543044	1655515
247	545207	1653209
248	547337	1650804
249	549619	1648859
250	551881	1646848
251	554064	1644605
252	556379	1642747
253	558737	1641017
254	561054	1639159
255	563417	1637431
256	565740	1635583
257	567785	1632934
258	569921	1630547
259	572016	1628047
260	574169	1625714
261	576482	1623833
262	578708	1621702
263	581001	1619761
264	583256	1617710
265	585475	1615559
266	587682	1613374
267	589793	1610928
268	591979	1608688
269	594154	1606418
270	596470	1604527
271	598770	1602590
272	601060	1600625
273	603335	1598618
274	605649	1596712
275	607748	1594237
276	609919	1591954
277	612205	1589972
278	614479	1587956
279	616583	1585501
280	618921	1583646
281	621142	1581491
282	623446	1579543
283	625614	1577252
284	627773	1574940
285	630039	1572894
286	632181	1570540
287	634498	1568620
288	636806	1566675
289	639056	1564587
290	641344	1562588
291	643455	1560158
292	645804	1558307
293	648087	1556290
294	650430	1554418
295	652556	1552026
296	654887	1550120
297	657127	1547999
298	659434	1546032
299	661633	1543811
300	663872	1541684
301	666092	1539511
302	668383	1537503
303	670670	1535482
304	672806	1533116
305	675069	1531040
306	677369	1529046
307	679752	1527237
308	681833	1524746
309	684197	1522890
310	686532	1520967
311	688829	1518956
312	691084	1516854
313	693273	1514603
314	695385	1512186
315	697677	1510163
316	699957	1508110
317	702221	1506021
318	704535	1504040
319	706803	1501957
320	709061	1499852
321	711354	1497820
322	713645	1495783
323	716086	1494057
324	718397	1492056
325	720681	1489997
326	722960	1487927
327	725231	1485840
328	727415	1483574
329	729702	1481517
330	731981	1479442
331	734277	1477401
332	736586	1475385
333	738924	1473424
334	741206	1471350
335	743502	1469303
336	745804	1467265
337	747911	1464843
338	750230	1462839
339	752498	1460732
340	754692	1458482
341	756756	1455982
342	759037	1453900
343	761135	1451467
344	763365	1449288
345	765655	1447221
346	767926	1445118
347	770077	1442789
348	772259	1440519
349	774565	1438478
350	776948	1436580
351	779141	1434328
352	781240	1431904
353	783530	1429832
354	785509	1427194
355	787786	1425096
356	790033	1422945
357	792316	1420857
358	794580	1418735
359	796813	1416557
360	799153	1414568
361	801380	1412378
362	803686	1410325
363	805849	1408023
364	808064	1405810
365	810337	1403700
366	812542	1401470
367	814855	1399425
368	817154	1397355
369	819187	1394833
370	821402	1392619
371	823674	1390503
372	825948	1388390
373	828224	1386280
374	830546	1384243
375	832824	1382133
376	835055	1379945
377	837247	1377693
378	839544	1375612
379	841759	1373397
380	844025	1371264
381	846291	1369131
382	848585	1367042
383	850829	1364872
384	853076	1362706
385	855242	1360411
386	857524	1358301
387	859875	1356298
388	862155	1354181
